home_team_elo,away_team_elo,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,match_result
1611.13171387,1861.60473633,19.8,23.4,23.7,20.0,13,35,30,20,9,34,1.0,0.8,0
1631.70861816,1946.77770996,22.6,32.2,15.5,12.9,19,37,19,7,25,45,2.0,3.0,2
1848.92272949,1619.76037598,25.3,15.0,21.3,31.8,37,15,23,33,34,12,0.8,1.4,0
1667.66247559,1637.41503906,24.0,16.6,25.7,27.2,25,20,28,24,23,21,1.4,0.6,0
1562.58093262,1839.64904785,19.7,25.3,25.5,24.6,17,29,33,29,14,26,0.6,1.0,2
1867.50317383,1683.26257324,27.7,21.0,16.1,19.2,35,21,14,21,37,22,1.6,1.4,2
1543.0769043,1623.81384277,11.7,21.1,22.3,25.6,10,16,28,32,10,12,0.2,1.0,2
1993.47717285,1651.90698242,40.6,18.7,13.1,21.5,48,14,10,23,44,15,3.0,2.0,2
1637.73303223,1569.71105957,16.1,16.9,25.7,31.4,14,16,22,42,16,9,1.4,1.8,1
1703.62719727,1647.29162598,22.5,23.6,25.5,21.1,25,23,25,25,24,24,1.4,0.8,2
1702.00146484,1913.24035645,23.8,26.1,22.8,21.7,24,31,22,16,24,39,2.0,1.2,2
1629.26281738,1851.98046875,17.4,26.9,28.0,22.5,20,40,26,24,21,37,0.6,0.8,1
1616.70251465,1693.52038574,16.2,24.7,33.4,24.8,16,26,36,28,12,24,1.4,2.0,2
1667.96911621,1556.00695801,19.6,21.1,23.0,28.3,17,18,25,38,18,14,2.0,0.6,1
1573.28710938,1627.96179199,17.1,23.5,31.8,17.4,16,19,42,21,10,25,1.8,2.0,1
1696.94494629,1977.41491699,21.5,42.1,21.6,14.0,22,50,21,13,25,44,1.4,3.0,0
1950.52453613,1634.15710449,34.1,16.5,13.8,25.9,39,14,7,22,48,17,3.0,1.4,0
1846.22302246,1532.18811035,28.1,12.5,26.0,24.8,34,11,30,31,29,10,1.0,0.2,0
1921.72131348,1675.8145752,28.1,24.8,22.6,26.5,37,27,18,28,42,26,1.2,1.4,0
1662.83093262,1853.82080078,25.9,30.1,23.1,16.6,25,35,25,15,27,37,0.8,1.6,2
1634.70263672,1688.08776855,23.6,24.5,26.4,27.8,19,25,33,27,15,24,1.0,1.4,2
1633.75305176,1708.48339844,18.5,26.2,28.8,26.8,21,31,27,29,22,27,0.6,2.0,0
1573.28527832,1530.09484863,18.3,13.6,33.2,26.3,17,12,43,34,11,10,1.8,0.2,0
1710.35510254,1560.46777344,22.8,22.0,23.0,30.4,24,18,22,38,28,15,1.4,0.6,2
1953.38354492,1847.49023438,37.0,27.7,14.3,23.6,43,41,7,25,51,38,3.0,0.8,0
1926.15759277,1627.96362305,29.8,24.9,23.7,18.6,42,20,18,22,45,26,1.2,2.0,2
1658.13989258,1631.2980957,27.1,17.0,25.0,28.8,26,14,27,26,27,17,0.8,1.4,1
1601.73962402,1696.17163086,18.2,25.7,34.9,29.0,17,27,41,28,12,27,1.4,1.4,0
1663.50830078,1858.51184082,21.7,32.0,23.9,17.8,17,37,25,16,19,40,2.0,1.6,2
1848.31628418,1671.3782959,29.6,25.9,27.1,28.2,37,27,31,33,32,26,1.0,1.4,0
1626.61889648,1964.00488281,24.8,43.5,27.6,15.3,20,51,35,15,15,44,1.0,3.0,2
1839.2722168,1578.94140625,28.7,20.1,27.4,33.6,42,18,30,43,38,14,0.8,1.8,0
1573.44006348,1904.3137207,22.6,30.1,32.2,24.6,19,43,38,21,18,45,0.6,1.2,2
1699.81750488,1697.3828125,26.9,24.6,27.9,23.6,31,24,30,23,27,28,2.0,1.4,2
1666.25073242,1655.81176758,26.4,28.4,31.1,25.7,28,27,37,28,26,28,1.4,0.8,1
1863.14819336,1623.5090332,32.9,25.0,18.0,30.1,38,21,16,38,43,15,1.6,1.0,1
1524.43859863,1614.6583252,14.0,20.9,28.1,35.7,12,19,35,41,10,15,0.2,1.4,2
1633.6262207,1853.44384766,17.7,32.5,30.1,27.6,15,41,27,32,18,35,1.4,1.0,2
1683.25292969,1642.41906738,26.5,19.6,31.7,29.5,27,22,30,27,27,25,1.4,0.6,1
1649.80761719,1658.87194824,25.8,21.9,18.9,24.8,23,17,23,26,29,19,2.0,2.0,2
1967.11462402,1961.60144043,46.0,40.8,15.5,15.3,54,48,16,8,47,54,3.0,3.0,0
1645.03662109,1955.12426758,20.3,42.3,30.3,16.4,24,49,29,10,26,54,0.6,3.0,2
1621.90197754,1575.79089355,23.3,21.5,36.6,38.1,21,19,42,47,18,14,1.4,1.8,0
1569.41967773,1517.19494629,23.5,14.9,33.3,30.5,19,13,41,37,18,10,0.6,0.2,1
1856.28894043,1627.75183105,33.8,18.4,18.2,32.7,38,15,16,29,44,18,1.6,1.4,0
1671.99584961,1657.59753418,23.8,29.3,25.3,27.9,19,30,26,31,22,29,2.0,0.8,2
1706.72546387,1630.36828613,25.2,25.2,24.6,31.0,25,21,23,38,31,16,1.4,1.0,2
1680.63525391,1842.42272949,27.3,33.2,32.4,28.8,29,46,32,31,28,41,1.4,0.8,0
1690.47473145,1664.46496582,27.9,28.6,28.5,32.0,31,31,31,40,27,27,2.0,1.4,0
1908.33410645,1859.31811523,31.2,35.1,25.5,28.3,46,43,21,32,48,38,1.2,1.0,2
1973.59179688,1636.68371582,47.1,26.3,17.0,20.8,56,23,17,25,50,29,3.0,2.0,0
1831.83288574,1858.67785645,33.9,35.1,29.4,18.7,46,40,32,17,41,47,0.8,1.6,0
1656.10742188,1691.22509766,30.5,27.9,33.0,33.1,31,30,42,32,27,31,1.4,1.4,0
1957.6907959,1662.41320801,44.3,25.1,16.8,26.9,50,20,10,28,57,22,3.0,2.0,0
1870.07958984,1642.47021484,35.9,20.7,30.1,32.3,44,24,32,30,41,26,1.0,0.6,0
1625.36303711,1566.54162598,18.9,23.6,34.0,33.8,16,19,31,41,18,19,1.4,0.6,0
1641.73193359,1698.83227539,26.7,28.9,32.7,30.4,23,33,39,31,19,30,1.0,2.0,0
1667.18017578,1627.58117676,30.9,24.1,29.2,37.4,32,23,32,43,32,21,0.8,1.4,1
1634.53015137,1695.36181641,26.4,26.9,23.6,26.1,23,26,28,25,29,31,2.0,1.4,0
1570.11169434,1897.57263184,22.3,33.0,38.9,26.3,20,46,49,22,14,48,1.8,1.2,2
1520.07299805,1975.7454834,15.4,49.9,30.6,17.1,13,59,37,17,11,53,0.2,3.0,2
1842.01342773,1557.12768555,35.4,23.9,30.3,35.8,48,19,32,44,44,19,0.8,0.6,0
1567.77075195,1640.12304688,23.2,21.5,40.6,34.7,21,25,51,32,14,26,1.8,0.6,0
1518.08154297,1690.67944336,16.3,29.8,32.6,31.1,13,34,40,33,11,30,0.2,2.0,2
1872.42675781,1630.21582031,38.3,25.9,30.9,38.7,46,23,33,43,44,22,1.0,1.4,1
1634.77697754,1977.73693848,20.9,51.9,34.3,18.0,19,62,31,17,21,56,1.4,3.0,0
